,cid,cidname,brand,model,datamonth,price,biz30day,biz30day_rank,total_sold_price,total_sold_price_rank,model_ratings,model_rank,model_pos,model_neu,model_neg,model_total,model_rate,model_rate_rank,funcid,target,target_ratings,target_rank,target_pos,target_neu,target_neg,target_total,target_rate,target_rate_rank
0,2019091609,智能门锁,安易美,HF827,201908,108.0,4130,74,446040.0,197,95.82,121.0,82,2,0,84,0.9761904761904762,1,1699,质量,95.82,131,62,2,0,64,0.96875,12
1,2019091609,智能门锁,佰特,6081,201908,188.0,2566,102,500896.0,188,96.86,92.0,100,8,0,108,0.925925925925926,2,1699,质量,96.86,113,70,2,0,72,0.9722222222222222,11
2,2019091609,智能门锁,kob,100,201908,49.09,9230,38,397641.32000000007,200,93.31,161.0,36,4,0,40,0.9,3,1699,质量,93.31,167,34,0,0,34,1.0,3
3,2019091609,智能门锁,zkat,W5D/W6D,201908,1006.8,240,239,241632.0,226,90.32,199.0,50,6,0,56,0.8928571428571429,4,1699,质量,90.32,204,24,0,0,24,1.0,8
4,2019091609,智能门锁,康利,1812,201908,160.5,347,217,55693.5,258,94.44,144.0,64,8,0,72,0.8888888888888888,5,1699,质量,94.44,148,46,0,0,46,1.0,1
5,2019091609,智能门锁,赢领,P8,201908,1899.0,315,220,491610.0,189,93.82,150.0,48,6,0,54,0.8888888888888888,6,1699,质量,93.82,157,34,0,0,34,1.0,2
6,2019091609,智能门锁,佰飞特,8020,201908,162.67,4840,69,792172.8,165,97.82,53.0,392,54,0,446,0.8789237668161435,7,1700,性价比,91.0,120,24,0,0,24,1.0,26
7,2019091609,智能门锁,佰飞特,8020,201908,162.67,4840,69,792172.8,165,97.82,53.0,392,54,0,446,0.8789237668161435,7,1699,质量,99.0,33,230,24,0,254,0.905511811023622,48
8,2019091609,智能门锁,佰飞特,8020,201908,162.67,4840,69,792172.8,165,97.82,53.0,392,54,0,446,0.8789237668161435,7,1707,灵敏度,96.51,39,66,8,0,74,0.8918918918918919,52
9,2019091609,智能门锁,佰飞特,8020,201908,162.67,4840,69,792172.8,165,97.82,53.0,392,54,0,446,0.8789237668161435,7,1702,开锁体验,96.51,39,66,8,0,74,0.8918918918918919,34
10,2019091609,智能门锁,佰飞特,8020,201908,162.67,4840,69,792172.8,165,97.82,53.0,392,54,0,446,0.8789237668161435,7,1716,款式,91.77,61,26,6,0,32,0.8125,56
11,2019091609,智能门锁,佰飞特,8020,201908,162.67,4840,69,792172.8,165,97.82,53.0,392,54,0,446,0.8789237668161435,7,1715,外观,91.77,61,30,14,0,44,0.6818181818181818,31
12,2019091609,智能门锁,佰特,216,201908,153.5,19334,20,2991949.3400000012,93,98.61,20.0,690,106,0,796,0.8668341708542714,8,1700,性价比,93.7,97,34,2,0,36,0.9444444444444444,78
13,2019091609,智能门锁,佰特,216,201908,153.5,19334,20,2991949.3400000012,93,98.61,20.0,690,106,0,796,0.8668341708542714,8,1707,灵敏度,97.47,24,90,6,0,96,0.9375,25
