,cid,cidname,datamonth,funcid,target,sum_avg_price,sum_biz30day,sum_biz30day_rank,sum_total_sold_price,sum_total_sold_price_rank,sum_target_ratings,sum_target_rank,sum_target_pos,sum_target_neu,sum_target_neg,sum_target_total,sum_rate,sum_rate_rank
6,2019091609,智能门锁,201908,1700,性价比,1250.46775603206,1371049,2,1714452566.4399998,8,97.23447687135909,1,19965,1186,38,21189,0.9422341781112842,1
8,2019091609,智能门锁,201908,1707,灵敏度,1264.0952081607657,1342472,4,1697012422.2899995,10,94.17907695653986,8,11590,1727,153,13470,0.8604305864884929,2
0,2019091609,智能门锁,201908,1699,质量,1201.5451301243406,1577837,1,1895842363.4799993,1,97.14210239080461,2,83493,15131,689,99313,0.8407056478003887,3
10,2019091609,智能门锁,201908,1716,款式,1461.2353133478045,1040186,11,1519956515.6499994,11,96.30887050008361,4,6221,1256,0,7477,0.8320181891132807,4
9,2019091609,智能门锁,201908,1702,开锁体验,1264.0952081607657,1342472,5,1697012422.2899995,9,94.17907695653986,7,11930,2287,153,14370,0.8302018093249826,5
86,2019091609,智能门锁,201908,1721,锁性能,1553.693516341513,723556,20,1124184265.9099998,18,95.32095998098285,6,1661,385,0,2046,0.8118279569892473,6
48,2019091609,智能门锁,201908,1710,识别锁,1526.566851972092,1124288,10,1716300792.8699994,7,88.64194597825468,18,9008,3747,413,13168,0.68408262454435,7
250,2019091609,智能门锁,201908,1718,尺寸,1500.7537625648629,404700,26,607355047.71,26,87.89779560168026,20,147,77,0,224,0.65625,8
85,2019091609,智能门锁,201908,1706,功能,1483.3445010261246,1183579,8,1755655401.1799996,5,94.05408699377062,9,9614,4924,145,14683,0.6547708234012123,9
11,2019091609,智能门锁,201908,1715,外观,1461.2353133478045,1040186,12,1519956515.6499994,12,96.30887050008361,3,9046,5792,0,14838,0.6096508963472166,10
32,2019091609,智能门锁,201908,1711,指纹识别,1480.3709104099134,1278512,6,1892671973.4099994,2,93.19182287690693,11,66052,45412,2179,113643,0.5812236565384582,11
88,2019091609,智能门锁,201908,1701,安全功能,1483.3445010261246,1183579,9,1755655401.1799996,6,94.05408699377062,10,12211,8686,235,21132,0.5778440280143857,12
665,2019091609,智能门锁,201908,1734,古铜色,1311.189506625539,127084,39,166631207.26,39,86.50658666708634,22,110,87,0,197,0.5583756345177665,13
33,2019091609,智能门锁,201908,1703,开锁方式,1480.3709104099134,1278512,7,1892671973.4099994,3,93.19182287690693,12,94928,72429,2761,170118,0.5580126735560023,14
1126,2019091609,智能门锁,201908,1737,金色,2231.9398788299013,206239,34,460313048.67,33,91.06657344149264,15,62,61,0,123,0.5040650406504065,15
490,2019091609,智能门锁,201908,1736,人脸识别,1427.4573261882051,17821,45,25438717.01,44,91.90296616351495,13,588,594,4,1186,0.4957841483979764,16
34,2019091609,智能门锁,201908,1709,智能锁,1343.7749132143776,1353450,3,1818732156.2899995,4,96.14224243230261,5,14852,15316,52,30220,0.4914626075446724,17
93,2019091609,智能门锁,201908,1722,防盗,1476.410796471345,942909,15,1392121027.6899996,15,88.02587748128398,19,2186,2442,70,4698,0.4653043848446147,18
667,2019091609,智能门锁,201908,1705,黑色,1362.8232981332137,347442,27,473502052.35,32,87.67261194674221,21,287,360,0,647,0.4435857805255023,19
46,2019091609,智能门锁,201908,1717,时尚,1516.045461946582,973316,14,1475591304.8399994,13,91.73870031932077,14,1959,2479,0,4438,0.44141505182514645,20
285,2019091609,智能门锁,201908,1714,门铃功能,1876.9706954891296,506665,23,950995357.4299998,22,89.3678685324623,17,850,1205,20,2075,0.40963855421686746,21
89,2019091609,智能门锁,201908,1708,手机,1484.6170820589618,980222,13,1455254325.4099996,14,85.10962450342879,24,1617,2519,48,4184,0.38647227533460804,22
316,2019091609,智能门锁,201908,1742,遥控,2079.039534560895,195944,35,407375322.56,34,85.55013927448658,23,267,485,0,752,0.3550531914893617,23
260,2019091609,智能门锁,201908,1741,精准度,1677.4542398586798,311350,28,522275377.58,30,80.28274976714309,27,77,159,0,236,0.326271186440678,24
35,2019091609,智能门锁,201908,1723,刷卡,1395.7107182776044,772459,17,1078129305.73,19,90.03385050857071,16,887,1842,0,2729,0.32502748259435693,25
168,2019091609,智能门锁,201908,1704,辅助功能,1613.1800369215027,848557,16,1368875212.5899997,16,78.84433647945865,28,2065,5915,61,8041,0.25680885462007214,26
713,2019091609,智能门锁,201908,1731,蓝牙功能,1917.1847369671161,471538,25,904025456.5,23,81.45225983907979,26,360,1183,24,1567,0.2297383535417996,27
967,2019091609,智能门锁,201908,1725,监控,2264.7399292644404,265920,31,602239641.99,27,78.63144426895308,29,89,300,0,389,0.22879177377892032,28
1572,2019091609,智能门锁,201908,1735,联网功能,2077.790234256532,57373,41,119209059.11000001,41,76.30053666358741,30,50,174,0,224,0.22321428571428573,29
263,2019091609,智能门锁,201908,1732,语音功能,1123.8923022263527,294832,29,331359415.25,38,68.77023593097086,31,84,304,0,388,0.21649484536082475,30
675,2019091609,智能门锁,201908,1730,面板,1536.9589907713064,501046,24,770087154.49,25,46.7674347465103,40,98,363,10,471,0.208067940552017,31
256,2019091609,智能门锁,201908,1727,机械锁,1473.468543896815,533410,22,785962856.0,24,60.29094576404642,36,103,395,14,512,0.201171875,32
1746,2019091609,智能门锁,201908,1740,香槟金,2410.449803895215,163688,38,394561707.5,35,84.28,25,12,49,0,61,0.19672131147540983,33
169,2019091609,智能门锁,201908,1712,自动锁,1565.6456865636874,751285,18,1176246119.6299999,17,67.47577357460884,33,267,1392,0,1659,0.1609403254972875,34
1749,2019091609,智能门锁,201908,1739,香槟色,2410.449803895215,163688,37,394561707.5,36,67.53,32,5,27,0,32,0.15625,35
962,2019091609,智能门锁,201908,1729,静音,1988.8499516238692,76484,40,152115199.70000002,40,35.9045612154176,41,16,95,0,111,0.14414414414414414,36
1600,2019091609,智能门锁,201908,1728,软件,1702.1585860859677,42202,43,71834496.65,43,64.13,34,4,24,0,28,0.14285714285714285,37
96,2019091609,智能门锁,201908,1719,正品,1422.8348953614213,694868,21,988682438.07,21,62.67073524755781,35,292,2135,0,2427,0.12031314379892871,38
